simulation_id,mass1,mass2,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,distance,inclination,coa_phase,polarization,longitude,latitude,geocent_end_time,geocent_end_time_ns
sim_inspiral:simulation_id:2,8.757418,1.310997,-0.0369873,0.1144906,-0.3183691,-0.02960837,-0.01882667,-0.02690166,85.63724,0.9650542,1.019318,1.624539,1.382083,-0.1489096,1325052416,571418953
sim_inspiral:simulation_id:5,9.592834,1.232673,0.1089052,-0.279849,-0.1985923,0.0007189196,-0.0006835671,-0.0001538231,40.74048,2.500448,4.772484,2.786776,2.482038,-0.7641311,1325072999,967521147
sim_inspiral:simulation_id:11,8.33448,1.316755,0.1612571,-0.1255285,0.2368332,-0.009333835,0.00214465,-0.006294172,364.3823,1.889049,0.8087516,4.642461,2.877269,-0.6583691,1325193229,131485812
sim_inspiral:simulation_id:14,7.859636,1.145547,0.07034621,0.2398994,-0.03818102,-0.02668045,0.009458328,0.01289152,150.559,2.229902,1.083379,3.441903,5.052662,-1.406093,1325216837,910619704
sim_inspiral:simulation_id:1007,6.592328,1.200074,-0.3016728,-0.3248402,-0.01834497,-0.00861249,-0.002053968,-0.01419888,296.8102,0.03622705,4.275826,3.333426,2.40564,0.06556439,1339375335,559862631
sim_inspiral:simulation_id:1009,8.9653,1.350423,0.1528131,-0.07452698,0.2140522,0.02532986,0.002240393,0.008373057,735.8346,3.080677,5.2982,3.282397,2.574881,-0.5645871,1339412492,709815148
sim_inspiral:simulation_id:1018,8.201361,1.463292,-0.1309262,0.1659726,0.1940228,0.003897388,-0.01721692,0.02316102,496.3585,2.397303,0.1861276,4.437356,1.263342,0.176446,1339523428,442445780
sim_inspiral:simulation_id:1019,8.71299,1.452875,0.05410359,0.07063819,0.1014449,-0.005198366,-0.009964562,0.01129772,353.674,2.404809,3.289036,0.1326755,3.917099,0.5009045,1339550238,465394210
sim_inspiral:simulation_id:1039,6.18626,1.351152,0.03245849,0.03843675,0.03174383,0.003568251,-0.0133361,-0.008621314,95.13084,0.4900769,1.638607,5.530809,3.907389,0.7426612,1340001413,846884886
sim_inspiral:simulation_id:1040,8.795989,1.528666,-0.1425721,0.2017123,-0.1412665,0.02464281,-0.02125609,0.009739593,394.1485,2.349042,2.16876,0.6458275,5.000029,0.1546828,1340003151,893012342
sim_inspiral:simulation_id:109,8.427696,1.671529,-0.04669696,0.2895515,0.03668433,0.01658382,-0.003079539,0.03645537,97.22666,1.306345,0.5920944,1.068609,4.53189,0.1226852,1326807407,189167530
sim_inspiral:simulation_id:123,9.537083,1.312732,-0.149999,0.2597249,-0.2337829,-0.02493446,0.03172223,0.005763461,235.7361,0.9786093,4.115572,6.153348,5.50749,-1.223354,1327059034,221340385
sim_inspiral:simulation_id:129,6.528778,1.058405,0.209609,0.07415306,-0.04269024,-0.03140392,-0.01536638,-0.01995458,160.9917,2.255085,0.3919045,5.389395,5.474966,0.2199455,1327182800,901009755
sim_inspiral:simulation_id:1085,7.273263,1.318359,-0.2997034,-0.07386386,0.2034247,0.001249988,-0.007016973,0.009414673,468.3143,0.5546596,3.3758,1.763229,3.589454,1.336756,1340664504,98246186
sim_inspiral:simulation_id:1088,9.503166,1.431179,0.04058839,0.05278837,0.06091207,-0.003929616,-0.02821914,-0.01058499,499.3555,2.380998,1.109782,1.255331,5.653715,0.01330486,1340696296,725070142
sim_inspiral:simulation_id:1092,8.935324,1.499165,0.08371972,-0.1970671,0.02236979,0.04002282,-0.005167521,0.02691913,234.1065,1.469752,0.7404681,4.697877,6.120838,-0.3278819,1340751978,708280194
sim_inspiral:simulation_id:1094,9.177112,1.136478,0.02786417,-0.1798591,-0.01854431,0.02536568,-0.01437603,-0.009725383,295.3873,2.282825,5.940136,1.913473,0.4029369,-1.127203,1340783053,227464237
sim_inspiral:simulation_id:1099,6.514598,1.273671,-0.1889589,-0.09958859,0.4493942,-0.006941045,0.02422299,-0.01920661,424.7408,0.2159723,2.642858,3.127777,5.917213,-0.5653161,1340910649,888855999
sim_inspiral:simulation_id:1107,7.014865,1.056291,0.2024657,0.2084136,-0.1795017,-0.001218201,-0.0006088233,0.004348249,500.5811,2.854852,3.988768,0.5317404,2.965263,0.1004962,1341054015,28456381
sim_inspiral:simulation_id:1112,9.182877,1.175386,0.02317549,-0.03808928,-0.01021872,0.01885983,0.04357518,0.01224736,285.7811,1.017649,3.438428,3.790967,3.28117,1.13964,1341086076,117567380
sim_inspiral:simulation_id:1117,6.536507,1.250813,0.003767319,0.01131831,0.007177505,-0.02635715,0.004095225,0.01902355,252.7189,2.610208,2.396778,1.111615,2.270591,0.2072646,1341134479,543344998
sim_inspiral:simulation_id:1132,7.365793,1.306848,-0.008510225,0.002150003,0.1626629,-0.01578099,-0.01128754,-0.01916557,164.9872,2.275479,0.1638272,0.9468495,0.2044078,0.6977892,1341279747,899300106
sim_inspiral:simulation_id:1153,9.388803,1.135632,-0.0008148589,0.01265558,-0.06222105,0.028446,0.01491789,-0.0139681,273.5903,0.2706715,0.5083817,0.762082,5.633559,0.5343123,1341623664,54632008
sim_inspiral:simulation_id:1168,9.682213,1.421516,-0.1093328,-0.1813761,-0.1120962,-0.01749985,0.005934653,-0.02285342,220.4582,1.081241,3.891435,5.08262,3.305381,0.3358395,1341822697,538437812
sim_inspiral:simulation_id:1178,8.72908,1.261347,0.2471376,-0.02081539,-0.3662728,0.002222442,0.02071607,0.004524617,443.8316,1.445077,1.101872,3.568681,2.960439,-0.2029658,1341998252,886829673
sim_inspiral:simulation_id:1182,6.247447,1.335837,0.2728846,-0.3349203,0.03526727,0.0006178005,0.002581223,-0.001589134,373.3472,3.112822,2.172585,5.810137,5.102692,-0.4098661,1342026708,918335176
sim_inspiral:simulation_id:1187,7.513373,1.378341,0.2903575,0.07614812,0.2753628,-0.006110188,-0.02104046,0.04244047,48.07551,0.7300652,3.572558,2.202678,1.421439,-0.515434,1342102084,939189987
sim_inspiral:simulation_id:1190,6.403778,1.569261,0.01839398,-0.1956583,0.2707916,-0.01281841,0.04072129,-0.01325377,277.3387,2.503168,4.470082,3.498802,1.527342,1.145253,1342171704,302545628
sim_inspiral:simulation_id:1204,8.156059,1.242106,0.07886606,0.1835681,-0.2076534,0.002446721,-0.001167435,0.002637089,237.9983,2.016656,5.98681,2.659182,1.90452,-0.6131068,1342344839,850065797
